Safe File	Obfu File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE79_response-contains-unsanitized-input_3_SAFE4.txt	CWE79_response-contains-unsanitized-input_3_obfu.txt	0.1285	0.9687	0.8715	1.0	0.92010	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_3_SAFE5.txt	CWE79_response-contains-unsanitized-input_3_obfu.txt	0.1519	0.9687	0.8481	1.0	0.90840	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_exec_SAFE1.txt	CWE79_response-contains-unsanitized-input_exec_obfu.txt	0.1527	0.8963	0.8473	1.0	0.87180	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_exec_SAFE2.txt	CWE79_response-contains-unsanitized-input_exec_obfu.txt	0.1604	0.8963	0.8396	1.0	0.86795	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_exec_SAFE3.txt	CWE79_response-contains-unsanitized-input_exec_obfu.txt	0.1604	0.8963	0.8396	1.0	0.86795	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_exec_SAFE4.txt	CWE79_response-contains-unsanitized-input_exec_obfu.txt	0.1604	0.8963	0.8396	1.0	0.86795	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_exec_SAFE5.txt	CWE79_response-contains-unsanitized-input_exec_obfu.txt	0.1527	0.8963	0.8473	1.0	0.87180	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE1.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt	0.1332	0.9129	0.8668	1.0	0.88985		0.4833333333333332	Moderate
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE2.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt	0.0866	0.7206	0.9134	1.0	0.81700		0.5558509450646987	Moderate
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE3.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt	0.1332	0.9129	0.8668	1.0	0.88985		0.4833333333333332	Moderate
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE4.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt	0.1252	0.9129	0.8748	1.0	0.89385		0.4833333333333332	Moderate
CWE79_response-contains-unsanitized-input_func = make_response-return func_SAFE5.txt CWE79_response-contains-unsanitized-input_func = make_response-return func_obfu.txt	0.1252	0.9129	0.8748	1.0	0.89385		0.4833333333333332	Moderate
CWE79_response-contains-unsanitized-input_ori_SAFE1.txt	CWE79_response-contains-unsanitized-input_ori_obfu.txt	0.1964	0.9027	0.8036	1.0	0.85315	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_ori_SAFE2.txt	CWE79_response-contains-unsanitized-input_ori_obfu.txt	0.2120	0.9027	0.7880	1.0	0.84535	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_ori_SAFE3.txt	CWE79_response-contains-unsanitized-input_ori_obfu.txt	0.1181	0.8365	0.8819	1.0	0.85920	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_ori_SAFE4.txt	CWE79_response-contains-unsanitized-input_ori_obfu.txt	0.2120	0.9027	0.7880	1.0	0.84535	0.8833333333333333	Strong
CWE79_response-contains-unsanitized-input_ori_SAFE5.txt	CWE79_response-contains-unsanitized-input_ori_obfu.txt	0.2120	0.9027	0.7880	1.0	0.84535	0.8833333333333333	Strong
CWE95_isten-eval_SAFE1.txt	CWE95_isten-eval_obfu.txt	0.2058	0.6277	0.7942	1.0	0.71095	0.8706514734125552	Strong
CWE95_isten-eval_SAFE2.txt	CWE95_isten-eval_obfu.txt	0.2222	0.6150	0.7778	1.0	0.69640	0.8740330188679246	Strong
CWE95_isten-eval_SAFE3.txt	CWE95_isten-eval_obfu.txt	0.2058	0.6277	0.7942	1.0	0.71095	0.8706514734125552	Strong
CWE95_isten-eval_SAFE4.txt	CWE95_isten-eval_obfu.txt	0.4280	0.5688	0.5720	1.0	0.57040	0.5499999999999999	Moderate
CWE95_isten-eval_SAFE5.txt	CWE95_isten-eval_obfu.txt	0.4462	0.5548	0.5538	1.0	0.55430	0.55	Moderate
CWE95_user-exec-format-string_SAFE1.txt	CWE95_user-exec-format-string_obfu.txt	0.1305	0.7988	0.8695	1.0	0.83415	0.8833333333333333	Strong
CWE95_user-exec-format-string_SAFE2.txt	CWE95_user-exec-format-string_obfu.txt	0.1272	0.8419	0.8728	1.0	0.85735	0.8833333333333333	Strong
CWE95_user-exec-format-string_SAFE3.txt	CWE95_user-exec-format-string_obfu.txt	0.1272	0.8419	0.8728	1.0	0.85735	0.8833333333333333	Strong
CWE95_user-exec-format-string_SAFE4.txt	CWE95_user-exec-format-string_obfu.txt	0.1272	0.8419	0.8728	1.0	0.85735	0.8833333333333333	Strong
CWE95_user-exec-format-string_SAFE5.txt	CWE95_user-exec-format-string_obfu.txt	0.1272	0.8419	0.8728	1.0	0.85735	0.8833333333333333	Strong
CWE95_user-exec-format-string_eval_SAFE1.txt	CWE95_user-exec-format-string_eval_obfu.txt	0.1571	0.8260	0.8429	1.0	0.83445	0.8833333333333333	Strong
CWE95_user-exec-format-string_eval_SAFE2.txt	CWE95_user-exec-format-string_eval_obfu.txt	0.1571	0.8260	0.8429	1.0	0.83445	0.8833333333333333	Strong
CWE95_user-exec-format-string_eval_SAFE3.txt	CWE95_user-exec-format-string_eval_obfu.txt	0.1571	0.8260	0.8429	1.0	0.83445	0.8833333333333333	Strong
CWE95_user-exec-format-string_eval_SAFE4.txt	CWE95_user-exec-format-string_eval_obfu.txt	0.1571	0.8260	0.8429	1.0	0.83445	0.8833333333333333	Strong
CWE95_user-exec-format-string_eval_SAFE5.txt	CWE95_user-exec-format-string_eval_obfu.txt	0.3250	0.6743	0.6750	1.0	0.67465	0.6346013857584095	Moderate
CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE1.txt	CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt	0.2936	0.6854	0.7064	1.0	0.69590	0.7162816143755019	Strong
CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE2.txt	CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt	0.1272	0.8419	0.8728	1.0	0.85735	0.8833333333333333	Strong
CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE3.txt	CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt	0.1272	0.8419	0.8728	1.0	0.85735	0.8833333333333333	Strong
CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE4.txt	CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt	0.2936	0.6854	0.7064	1.0	0.69590	0.7162816143755019	Strong
CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_SAFE5.txt	CWE95_user-exec-format-string_exec_func = exec-exec_func(code)_obfu.txt	0.2936	0.6854	0.7064	1.0	0.69590	0.7162816143755019	Strong
CWE95_user-exec-format-string_ori_SAFE1.txt	CWE95_user-exec-format-string_ori_obfu.txt	0.2449	0.8265	0.7551	1.0	0.79080	0.8829198213288666	Strong
CWE95_user-exec-format-string_ori_SAFE2.txt	CWE95_user-exec-format-string_ori_obfu.txt	0.2449	0.8265	0.7551	1.0	0.79080	0.8829198213288666	Strong
CWE95_user-exec-format-string_ori_SAFE3.txt	CWE95_user-exec-format-string_ori_obfu.txt	0.2449	0.8265	0.7551	1.0	0.79080	0.8829198213288666	Strong
CWE95_user-exec-format-string_ori_SAFE4.txt	CWE95_user-exec-format-string_ori_obfu.txt	0.2449	0.8265	0.7551	1.0	0.79080	0.8829198213288666	Strong
CWE95_user-exec-format-string_ori_SAFE5.txt	CWE95_user-exec-format-string_ori_obfu.txt	0.2449	0.8265	0.7551	1.0	0.79080	0.8829198213288666	Strong
CWE96_globals-as-template-context_SAFE1.txt	CWE96_globals-as-template-context_obfu.txt	0.5894	0.4388	0.4106	1.0	0.42470	0.5499999999999998	Moderate
CWE96_globals-as-template-context_SAFE2.txt	CWE96_globals-as-template-context_obfu.txt	0.7939	0.2078	0.2061	1.0	0.20695	0.13333333333333325	Weak
CWE96_globals-as-template-context_SAFE3.txt	CWE96_globals-as-template-context_obfu.txt	0.5455	0.4187	0.4545	1.0	0.43660	0.55	Moderate
CWE96_globals-as-template-context_SAFE4.txt	CWE96_globals-as-template-context_obfu.txt	0.5587	0.4592	0.4413	1.0	0.45025	0.55	Moderate
CWE96_globals-as-template-context_SAFE5.txt	CWE96_globals-as-template-context_obfu.txt	0.5368	0.4839	0.4632	1.0	0.47355	0.55	Moderate
